,gameID,event_date,loc,result,FLA_goals,FLA_pim,FLA_shots,FLA_powerPlayPercentage,FLA_powerPlayGoals,FLA_powerPlayOpportunities,FLA_faceOffWinPercentage,FLA_blocked,FLA_takeaways,FLA_giveaways,FLA_hits,OPP_goals,OPP_pim,OPP_shots,OPP_powerPlayPercentage,OPP_powerPlayGoals,OPP_powerPlayOpportunities,OPP_faceOffWinPercentage,OPP_blocked,OPP_takeaways,OPP_giveaways,OPP_hits
0,2010020026,2010-10-11T00:00:00Z,away,L,2,4,28,0,0,5,66.7,8,15,7,17,3,10,13,0,0,2,33.3,24,10,21,25
1,2010020033,2010-10-12T02:00:00Z,away,L,1,0,42,0,0,3,40.7,16,6,5,13,2,6,35,0,0,0,59.3,25,6,5,23
2,2010020047,2010-10-15T01:30:00Z,away,W,3,8,18,0,0,3,57.1,19,6,13,6,0,6,27,0,0,4,42.9,15,5,16,19
3,2010020059,2010-10-16T23:00:00Z,home,W,6,4,38,25,1,4,52.5,10,4,8,19,0,8,29,0,0,2,47.5,13,4,5,26
4,2010020088,2010-10-21T23:30:00Z,home,L,1,9,28,0,0,3,52.7,8,5,6,20,4,21,29,0,0,2,47.3,10,3,6,22
5,2010020103,2010-10-23T23:00:00Z,home,W,4,10,30,0,0,5,54,8,5,8,21,3,12,33,40,2,5,46,9,5,3,25
6,2010020117,2010-10-26T23:00:00Z,away,L,1,4,22,33.3,1,3,36.6,21,8,9,28,3,6,27,50,1,2,63.4,27,9,12,35
7,2010020132,2010-10-28T23:00:00Z,away,L,3,7,31,33.3,1,3,38.6,10,12,9,21,5,11,28,0,0,1,61.4,17,8,6,21
8,2010020144,2010-10-30T23:00:00Z,away,W,3,10,31,0,0,3,52.1,18,2,4,20,1,6,41,0,0,5,47.9,11,6,5,26
9,2010020167,2010-11-03T23:30:00Z,home,L,3,7,55,0,0,1,53.1,14,9,5,15,4,7,23,0,0,1,46.9,15,3,0,30
10,2010020182,2010-11-05T23:30:00Z,home,W,7,14,50,0,0,2,59,10,4,4,15,4,4,31,0,0,7,41,13,6,4,20
11,2010020192,2010-11-06T23:00:00Z,away,L,2,10,20,0,0,2,59.3,26,3,5,22,3,4,29,20,1,5,40.7,19,12,6,30
12,2010020214,2010-11-11T00:30:00Z,home,W,4,10,28,40,2,5,50,14,9,5,19,1,10,33,0,0,5,50,7,7,4,31
13,2010020230,2010-11-13T00:30:00Z,home,W,2,8,27,0,0,4,57.4,19,8,7,20,1,25,23,33.3,1,3,42.6,16,0,4,27
14,2010020237,2010-11-14T00:00:00Z,away,L,2,8,36,0,0,2,46.3,19,7,9,12,5,4,42,50,2,4,53.7,21,10,8,19
15,2010020262,2010-11-18T00:00:00Z,away,W,2,2,34,0,0,3,50.9,11,13,5,14,1,6,39,0,0,1,49.1,17,12,8,16
16,2010020269,2010-11-19T00:00:00Z,away,L,0,9,41,0,0,5,52.5,18,3,3,15,4,15,40,0,0,2,47.5,12,2,3,15
17,2010020286,2010-11-21T00:00:00Z,away,W,4,8,31,0,0,6,47.7,24,10,6,9,1,12,40,0,0,4,52.3,19,14,12,26
18,2010020305,2010-11-23T00:30:00Z,home,L,2,6,29,0,0,5,63,9,9,9,22,3,10,26,66.7,2,3,37,19,2,1,23
19,2010020315,2010-11-25T00:30:00Z,home,L,1,8,32,0,0,2,52.4,9,8,2,19,3,4,37,25,1,4,47.6,10,3,3,24
20,2010020331,2010-11-27T00:30:00Z,home,L,0,11,40,0,0,5,54.9,9,4,3,21,3,15,19,50,1,2,45.1,10,2,0,34
21,2010020338,2010-11-28T00:30:00Z,away,W,3,14,27,0,0,4,57.1,16,5,4,16,3,8,37,14.3,1,7,42.9,20,5,14,19
22,2010020364,2010-12-02T03:00:00Z,away,L,3,7,32,100,2,2,61.9,14,3,10,21,5,9,29,0,0,1,38.1,11,7,7,20
23,2010020372,2010-12-03T03:30:00Z,away,L,2,4,26,0,0,3,44.8,18,1,12,30,3,6,24,0,0,2,55.2,10,0,15,41
24,2010020388,2010-12-05T01:00:00Z,away,W,1,6,37,0,0,4,53.7,12,3,1,31,1,8,41,33.3,1,3,46.3,9,3,12,38
25,2010020403,2010-12-08T00:30:00Z,home,W,4,2,25,0,0,2,43.6,9,7,5,22,3,4,25,0,0,1,56.4,15,0,1,26
