id,season,name,position,age,height,weight,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8458943,20102011,Cory Stillman,LW,36,"6' 0""",193,1099:10:00,27,12,24,116,65,64,3,12,209:28:00,888:18:00,24,45.94,10.34,2,0,0,0,1:24,30,5,39,1394,16:54,13:39,0:01,3:13,,,,,,,,,,,,,,,,,,,,
8459462,20102011,Bryan McCabe,D,34,"6' 2""",223,1311:00:00,21,7,34,122,67,86,4,13,242:38:00,1004:13:00,34,0,5.74,0,0,0,0,64:09:00,72,2,28,1508,19:34,14:59,0:57,3:37,,,,,,,,,,,,,,,,,,,,
8462041,20102011,Radek Dvorak,RW,32,"6' 2""",195,1061:05:00,15,7,24,109,66,51,0,0,15:14,899:07:00,24,36.84,6.42,3,0,1,1,146:44:00,33,2,22,1433,16:04,13:37,2:13,0:13,,,,,,,,,,,,,,,,,,,,
8464967,20102011,Marty Reasoner,C,32,"6' 1""",197,1407:15:00,18,14,22,124,82,71,0,1,45:05:00,1135:32:00,22,54.51,11.29,4,0,0,0,226:38:00,57,2,32,1838,17:09,13:50,2:45,0:32,,,,,,,,,,,,,,,,,,,,
8466035,20102011,Sergei Samsonov,LW,31,"5' 8""",188,1205:23:00,27,13,14,123,78,56,4,13,211:50:00,989:18:00,14,27.27,10.57,1,0,0,0,4:15,34,-2,40,1552,15:27,12:41,0:03,2:42,,,,,,,,,,,,,,,,,,,,
8467332,20102011,Bryan Allen,D,29,"6' 5""",223,1319:12:00,13,4,82,58,72,118,0,0,7:36,1150:23:00,82,0,6.9,1,1,0,0,161:13:00,103,-1,17,1660,18:19,15:58,2:14,0:06,,,,,,,,,,,,,,,,,,,,
8468432,20102011,Steve Reinprecht,C,33,"6' 0""",188,341:15:00,6,4,6,31,29,20,1,1,14:25,313:08:00,6,51.74,12.9,1,0,0,0,13:42,14,-2,10,477,11:46,10:47,0:28,0:29,,,,,,,,,,,,,,,,,,,,
8468478,20102011,Mike Weaver,D,31,"5' 10""",186,1706:10:00,11,2,34,53,82,98,0,1,18:17,1421:12:00,34,0,3.77,1,0,0,0,266:41:00,132,1,13,2098,20:48,17:19,3:15,0:13,,,,,,,,,,,,,,,,,,,,
8468660,20102011,Darcy Hordichuk,LW,29,"6' 1""",215,324:24:00,4,1,76,32,64,116,0,0,0:28,323:56:00,76,0,3.13,0,0,0,0,0:00,4,-1,5,494,5:04,5:03,0:00,0:00,,,,,,,,,,,,,,,,,,,,
8469457,20102011,Stephen Weiss,C,26,"5' 11""",190,1527:31:00,28,21,49,172,76,52,3,19,266:55:00,1133:23:00,49,53.87,12.21,1,1,2,2,127:13:00,44,-9,49,1864,20:05,14:54,1:40,3:30,,,,,,,,,,,,,,,,,,,,
8469770,20102011,Dennis Wideman,D,26,"6' 0""",202,1798:39:00,30,10,39,160,75,95,9,22,305:25:00,1311:32:00,39,100,6.25,1,1,0,0,181:42:00,126,-19,40,1967,23:58,17:29,2:25,4:04,,,,,,,,,,,,,,,,,,,,
8470086,20102011,Joe Callahan,D,27,"6' 3""",210,428:44:00,1,0,12,21,27,46,0,0,10:31,407:57:00,12,0,0,0,0,0,0,10:16,36,-1,1,514,15:52,15:06,0:22,0:23,,,,,,,,,,,,,,,,,,,,
